"ALL","全部"
"Admin\Customer\Attribute::index","查看顾客属性信息"
"Admin\Customer\Attribute::save","保存顾客属性"
"Admin\Customer\Attribute\Address::delete","删除顾客地址属性"
"Admin\Customer\Attribute\Address::edit","编辑顾客地址属性"
"Admin\Customer\Attribute\Address::index","查看顾客地址属性信息"
"Admin\Customer\Attribute\Address::save","保存顾客地址属性"
"Admin\Customer\Attribute\Group::delete","删除顾客组属性"
"Admin\Customer\Attribute\Group::save","保存顾客组属性"
"Admin\Customer\Attribute\Set::delete","删除顾客属性集"
"Admin\Customer\Attribute\Set::edit","编辑顾客属性集"
"Admin\Customer\Attribute\Set::index","查看顾客属性集信息"
"Admin\Customer\Attribute\Set::save","保存顾客属性集"
"Admin\Customer\Creditcard::index","查看顾客信用卡信息"
"Admin\Customer\Group::delete","删除顾客组"
"Admin\Customer\Group::edit","编辑顾客组"
"Admin\Customer\Group::index","查看顾客组信息"
"Admin\Customer\Group::save","保存顾客组"
"Admin\Customer\Level::delete","删除顾客等级"
"Admin\Customer\Level::edit","编辑顾客等级"
"Admin\Customer\Level::index","查看顾客等级信息"
"Admin\Customer\Level::save","保存顾客等级"
"Admin\Customer\Manage::delete","删除顾客管理"
"Admin\Customer\Manage::edit","编辑顾客管理"
"Admin\Customer\Manage::index","查看顾客管理信息"
"Admin\Customer\Manage::save","保存顾客管理"
"Admin\Customer\Media::delete","删除社交媒体"
"Admin\Customer\Media::edit","编辑社交媒体"
"Admin\Customer\Media::index","查看社交媒体信息"
"Admin\Customer\Media::save","保存社交媒体"
"Admin\Dashboard::index","查看仪表盘信息"
"Admin\Dashboard::visitors","访客记录"
"Admin\Dataflow\Abstract::prepareImport","准备导入数据"
"Admin\Dataflow\Address::export","导出顾客地址"
"Admin\Dataflow\Address::import","导入顾客地址"
"Admin\Dataflow\Address::prepareImport","准备导入地址数据"
"Admin\Dataflow\Address::processExport","导出地址数据中"
"Admin\Dataflow\Address::processImport","导入地址数据中"
"Admin\Dataflow\Address::template","导入/导出地址数据模板"
"Admin\Dataflow\Customer::export","导出顾客"
"Admin\Dataflow\Customer::import","导入顾客"
"Admin\Dataflow\Customer::prepareImport","准备导入顾客数据"
"Admin\Dataflow\Customer::processExport","导出顾客数据中"
"Admin\Dataflow\Customer::processImport","导入顾客数据中"
"Admin\Dataflow\Customer::template","导入/导出顾客模板"
"Admin\Dataflow\Product::export","导出产品"
"Admin\Dataflow\Product::import","导入产品"
"Admin\Dataflow\Product::prepareImport","准备导入产品"
"Admin\Dataflow\Product::processExport","导出产品数据中"
"Admin\Dataflow\Product::processImport","导入产品数据中"
"Admin\Dataflow\Product::template","导入/导出产品模板"
"Admin\Dataflow\Stock::export","导出产品库存"
"Admin\Dataflow\Stock::import","导入产品库存"
"Admin\Dataflow\Stock::prepareImport","准备导入产品库存"
"Admin\Dataflow\Stock::processExport","导出产品库存中"
"Admin\Dataflow\Stock::processImport","导入产品库存中"
"Admin\Dataflow\Stock::template","导入/导出产品库存模块"
"Admin\Email\Queue::delete","删除邮件队列"
"Admin\Email\Queue::index","查看邮件信息"
"Admin\Email\Queue::schedule","查看邮件时间"
"Admin\Email\Subscriber::delete","删除新闻订阅者"
"Admin\Email\Subscriber::index","查看新闻订阅者信息"
"Admin\Email\Template::delete","删除邮件模板"
"Admin\Email\Template::edit","编辑邮件模板"
"Admin\Email\Template::index","查看邮件模板信息"
"Admin\Email\Template::save","保存邮件模板"
"Admin\I18n\Currency::edit","编辑货币"
"Admin\I18n\Currency::index","查看货币"
"Admin\I18n\Currency::save","保存货币"
"Admin\I18n\Currency::sync","同步货币"
"Admin\I18n\Language::delete","删除语言"
"Admin\I18n\Language::edit","编辑语言"
"Admin\I18n\Language::list","查看语言列表"
"Admin\I18n\Language::save","保存语言列表"
"Admin\I18n\Merchant::delete","删除卖家"
"Admin\I18n\Merchant::edit","编辑卖家"
"Admin\I18n\Merchant::save","保存卖家"
"Admin\I18n\Store::delete","删除店铺"
"Admin\I18n\Store::edit","编辑店铺"
"Admin\I18n\Store::save","保存店铺"
"Admin\I18n\Translation::delete","删除售后"
"Admin\I18n\Translation::edit","编辑售后"
"Admin\I18n\Translation::index","查看售后信息"
"Admin\I18n\Translation::save","保存售后"
"Admin\Indexer::index","查看索引"
"Admin\Indexer::rebuild","重建索引"
"Admin\Message\Template::delete","删除信息模板"
"Admin\Message\Template::edit","编辑信息模板"
"Admin\Message\Template::index","查看信息模板信息"
"Admin\Message\Template::save","保存信息模板"
"Admin\Operation::delete","删除操作管理"
"Admin\Operation::edit","编辑操作管理"
"Admin\Operation::index","查看操作管理"
"Admin\Operation::save","保存操作管理"
"Admin\Promotion::delete","删除促销规则"
"Admin\Promotion::deleteCoupon","删除优惠券"
"Admin\Promotion::disable","禁用促销规则"
"Admin\Promotion::edit","编辑促销规则"
"Admin\Promotion::enable","启用促销规则"
"Admin\Promotion::generateCoupon","生成优惠券"
"Admin\Promotion::index","查看促销规则信息"
"Admin\Promotion::save","保存促销规则"
"Admin\Resource\Category::delete","删除资源分类"
"Admin\Resource\Category::edit","编辑资源分类"
"Admin\Resource\Category::index","查看资源分类信息"
"Admin\Resource\Category::save","保存资源分类"
"Admin\Resource\Resource::delete","删除资源"
"Admin\Resource\Resource::index","查看资源信息"
"Admin\Resource\Resource::move","移动"
"Admin\Resource\Resource::nav","导航"
"Admin\Resource\Resource::popup","弹出"
"Admin\Resource\Resource::rename","重命名"
"Admin\Resource\Resource::upload","上传资源"
"Admin\Retailer\Apply::edit","编辑开店申请"
"Admin\Retailer\Apply::index","查看开店信息"
"Admin\Retailer\Apply::save","保存开店申请"
"Admin\Role::delete","删除角色"
"Admin\Role::edit","编辑角色"
"Admin\Role::index","查看角色信息"
"Admin\Role::save","保存角色"
"Admin\Sales\Cart::index","查看购物车信息"
"Admin\Sales\Cart::view","显示购物车"
"Admin\Sales\Creditmemo::delete","删除贷项通知单"
"Admin\Sales\Creditmemo::index","查看贷项通知单信息"
"Admin\Sales\Creditmemo::print","打印贷项通知单"
"Admin\Sales\Creditmemo::save","保存贷项通知单"
"Admin\Sales\Creditmemo::view","显示贷项通知单"
"Admin\Sales\Invoice::edit","编辑账单"
"Admin\Sales\Invoice::index","查看账信息"
"Admin\Sales\Invoice::print","打印账单"
"Admin\Sales\Invoice::save","保存账单"
"Admin\Sales\Invoice::view","显示账单"
"Admin\Sales\Order::cancel","取消订单"
"Admin\Sales\Order::chart","订单跟踪"
"Admin\Sales\Order::hold","挂起"
"Admin\Sales\Order::index","查看订单信息"
"Admin\Sales\Order::invoice","账单"
"Admin\Sales\Order::print","打印订单"
"Admin\Sales\Order::refund","退换货申请"
"Admin\Sales\Order::saveAddress","保存订单地址"
"Admin\Sales\Order::saveDiscount","保存订单折扣"
"Admin\Sales\Order::ship","发货"
"Admin\Sales\Order::status","订单状态"
"Admin\Sales\Order::unhold","取消订单"
"Admin\Sales\Order::view","显示订单"
"Admin\Sales\Refund::complete","退换货处理完成"
"Admin\Sales\Refund::index","查看退换货信息"
"Admin\Sales\Refund::processing","退换货处理"
"Admin\Sales\Refund::status","退换换货状态"
"Admin\Sales\Refund::view","显示退换货申请信息"
"Admin\Sales\Shipment::delete","删除运单"
"Admin\Sales\Shipment::edit","编辑运单"
"Admin\Sales\Shipment::index","查看运单信息"
"Admin\Sales\Shipment::print","打印运单"
"Admin\Sales\Shipment::save","保存运单"
"Admin\Sales\Shipment::view","显示运单信息"
"Admin\Sales\Status::delete","删除订单状态"
"Admin\Sales\Status::edit","编辑订单状态"
"Admin\Sales\Status::index","查看订单状态信息"
"Admin\Sales\Status::save","保存订单状态"
"Admin\User::delete","删除用户"
"Admin\User::edit","编辑用户"
"Admin\User::index","查看用户信息"
"Admin\User::list","查看用户列表"
"Admin\User::logout","注销用户"
"Admin\User::save","保存用户"
"Api\User::delete","删除API用户"
"Api\User::edit","编辑API用户"
"Api\User::index","查看API用户信息"
"Api\User::list","查看API用户列表"
"Api\User::logout","注销API用户"
"Api\User::save","保存API用户"
