"Locale","区域"
"Central Pacific Standard Time (Antarctica/Macquarie)","环太平洋标准时间 (南极洲/麦格理)"
"Central Pacific Standard Time (Etc/GMT-11)","环太平洋标准时间 (ETC/GMT-11)"
"Central Pacific Standard Time (Pacific/Efate)","环太平洋标准时间 (太平洋/埃法特岛)"
"Central Pacific Standard Time (Pacific/Guadalcanal)","环太平洋标准时间 (太平洋/瓜达尔卡纳尔岛)"
"Central Pacific Standard Time (Pacific/Kosrae)","环太平洋标准时间 (太平洋/科斯雷)"
"Central Pacific Standard Time (Pacific/Noumea)","环太平洋标准时间 (太平洋/努美阿)"
"Central Pacific Standard Time (Pacific/Ponape)","环太平洋标准时间 (太平洋/波纳佩岛)"
"Central Standard Time (America/Chicago)","中部标准时间 (美洲/芝加哥)"
"Central Standard Time (America/Indiana/Knox)","中部标准时间 (美洲/印第安纳州/诺克斯)"
"Central Standard Time (America/Indiana/Tell_City)","中部标准时间 (美洲/印第安纳州/特尔城)"
"Central Standard Time (America/Matamoros)","中部标准时间 (美洲/马塔莫罗斯)"
"Central Standard Time (America/Menominee)","中部标准时间 (美洲/梅诺米尼)"
"Central Standard Time (America/North_Dakota/Beulah)","中部标准时间 (美洲/北达科他/比乌拉)"
"Central Standard Time (America/North_Dakota/Center)","中部标准时间 (美洲/北达科他/中心)"
"Central Standard Time (America/North_Dakota/New_Salem)","中部标准时间 (美洲/北达科他/新塞勒姆)"
"Central Standard Time (America/Rainy_River)","中部标准时间 (美洲/雷尼里弗)"
"Central Standard Time (America/Rankin_Inlet)","中部标准时间 (美洲/兰金因莱特)"
"Central Standard Time (America/Resolute)","中部标准时间 (美洲/坚决)"
"Central Standard Time (America/Winnipeg)","中部标准时间 (美洲/温尼伯)"
"Central Standard Time (CST6CDT)","中部标准时间 (CST6CDT)"
"Central Standard Time (Mexico) (America/Bahia_Banderas)","中部标准时间 (墨西哥) (美洲/巴伊亚班德拉斯)"
"Central Standard Time (Mexico) (America/Cancun)","中部标准时间 (墨西哥) (美洲/坎昆)"
"Central Standard Time (Mexico) (America/Merida)","中部标准时间 (墨西哥) (美洲/梅里达)"
"Central Standard Time (Mexico) (America/Mexico_City)","中部标准时间 (墨西哥) (美洲/墨西哥城)"
"Central Standard Time (Mexico) (America/Monterrey)","中部标准时间 (墨西哥) (美洲/蒙特雷)"
"China Standard Time (Asia/Chongqing)","中国标准时间 (亚洲/重庆)"
"China Standard Time (Asia/Harbin)","中国标准时间 (亚洲/哈尔滨)"
"China Standard Time (Asia/Hong_Kong)","中国标准时间 (亚洲/香港)"
"China Standard Time (Asia/Kashgar)","中国标准时间 (亚洲/喀什)"
"China Standard Time (Asia/Macau)","中国标准时间 (亚洲/澳门)"
"China Standard Time (Asia/Shanghai)","中国标准时间 (亚洲/上海)"
"China Standard Time (Asia/Urumqi)","中国标准时间 (亚洲/乌鲁木齐)"
"Dateline Standard Time (Etc/GMT+12)","日界线标准时间 (ETC/GMT+12)"，
"E. Africa Standard Time (Africa/Addis_Ababa)","东非标准时间 (非洲/亚的斯亚贝巴)"
"E. Africa Standard Time (Africa/Asmera)","东非标准时间 (非洲/阿斯马拉)"
"E. Africa Standard Time (Africa/Dar_es_Salaam)","东非标准时间 (非洲/达累斯萨拉姆)"
"E. Africa Standard Time (Africa/Djibouti)","东非标准时间 (非洲/吉布提)"
"E. Africa Standard Time (Africa/Juba)","东非标准时间 (非洲/朱巴)"
"E. Africa Standard Time (Africa/Kampala)","东非标准时间 (非洲/坎帕拉)"
"E. Africa Standard Time (Africa/Khartoum)","东非标准时间 (非洲/喀土穆)"
"E. Africa Standard Time (Africa/Mogadishu)","东非标准时间 (非洲/摩加迪沙)"
"E. Africa Standard Time (Africa/Nairobi)","东非标准时间 (非洲/内罗毕)"
"E. Africa Standard Time (Antarctica/Syowa)","东非标准时间 (南极洲/昭和)"
"E. Africa Standard Time (Etc/GMT-3)","东非标准时间 (ETC/GMT-3)"
"E. Africa Standard Time (Indian/Antananarivo)","东非标准时间 (印度/塔那那利佛)"
"E. Africa Standard Time (Indian/Comoro)","东非标准时间 (印度/科摩罗)"
"E. Africa Standard Time (Indian/Mayotte)","东非标准时间 (印度/马约特岛)"
"E. Australia Standard Time (Australia/Brisbane)","澳大利亚东部标准时间 (澳大利亚/布里斯班)"
"E. Australia Standard Time (Australia/Lindeman)","澳大利亚东部标准时间 (澳大利亚/林德曼)"
"E. South America Standard Time (America/Sao_Paulo)","南美洲东部标准时间 (美洲/圣保罗)"，
"Eastern Standard Time (America/Detroit)","东部标准时间 (美洲/底特律)"
"Eastern Standard Time (America/Grand_Turk)","东部标准时间 (美洲/大特克)"
"Eastern Standard Time (America/Havana)","东部标准时间 (美洲/哈瓦那)"，
"Eastern Standard Time (America/Indiana/Petersburg)","东部标准时间 (美洲/印第安纳州/圣彼得堡)"
"Eastern Standard Time (America/Indiana/Vincennes)","东部标准时间 (美洲/印第安纳州/文森斯)"
"Eastern Standard Time (America/Indiana/Winamac)","东部标准时间 (美洲/印第安纳州/威纳马克)"
"Eastern Standard Time (America/Iqaluit)","东部标准时间 (美洲/伊魁特)"
"Eastern Standard Time (America/Kentucky/Monticello)","东部标准时间 (美洲/肯塔基州/蒙蒂塞洛)"
"Eastern Standard Time (America/Louisville)","东部标准时间 (美洲/路易斯维尔)"
"Eastern Standard Time (America/Montreal)","东部标准时间 (美洲/蒙特利尔)"
"Eastern Standard Time (America/Nassau)","东部标准时间 (美洲/拿骚)"
"Eastern Standard Time (America/New_York)","东部标准时间 (美洲/纽约)"，
"Eastern Standard Time (America/Nipigon)","东部标准时间 (美洲/尼皮贡)"
"Eastern Standard Time (America/Pangnirtung)","东部标准时间 (美洲/庞纳唐)"
"Eastern Standard Time (America/Port-au-Prince)","东部标准时间 (美洲/太子港)"
"Eastern Standard Time (America/Thunder_Bay)","东部标准时间 (美洲/桑德贝)"
"Eastern Standard Time (America/Toronto)","东部标准时间 (美洲/多伦多)"
"Eastern Standard Time (EST5EDT)","东部标准时间 (EST5EDT)"
"Egypt Standard Time (Africa/Cairo)","埃及标准时间 (非洲/开罗)"
"Ekaterinburg Standard Time (Asia/Yekaterinburg)","叶卡捷琳堡标准时间 (亚洲/叶卡捷琳堡)"
"FLE Standard Time (Europe/Helsinki)","FLE标准时间 (欧洲/赫尔辛基)"
"FLE Standard Time (Europe/Kiev)","FLE标准时间 (欧洲/基辅)"
"FLE Standard Time (Europe/Mariehamn)","FLE标准时间 (欧洲/玛丽港)"
"FLE Standard Time (Europe/Riga)","FLE标准时间 (欧洲/里加)"
"FLE Standard Time (Europe/Simferopol)","FLE标准时间 (欧洲/辛菲罗波尔)"
"FLE Standard Time (Europe/Sofia)","FLE标准时间 (欧洲/索非亚)"
"FLE Standard Time (Europe/Tallinn)","FLE标准时间 (欧洲/塔林)"
"FLE Standard Time (Europe/Uzhgorod)","FLE标准时间 (欧洲/乌日哥罗德)"
"FLE Standard Time (Europe/Vilnius)","FLE标准时间 (欧洲/维尔纽斯)"
"FLE Standard Time (Europe/Zaporozhye)","FLE标准时间 (欧洲/扎波罗热)"
"Fiji Standard Time (Pacific/Fiji)","斐济标准时间 (太平洋/斐济)"
"GMT Standard Time (Atlantic/Canary)","GMT标准时间 (大西洋/加那利)"
"GMT Standard Time (Atlantic/Faeroe)","GMT标准时间 (大西洋/法罗)"
"GMT Standard Time (Atlantic/Madeira)","GMT标准时间 (大西洋/马德拉岛)"
"GMT Standard Time (Europe/Dublin)","GMT标准时间 (欧洲/都柏林)"
"GMT Standard Time (Europe/Guernsey)","GMT标准时间 (欧洲/根西岛)"
"GMT Standard Time (Europe/Isle_of_Man)","GMT标准时间 (欧洲/马恩岛)"
"GMT Standard Time (Europe/Jersey)","GMT标准时间 (欧洲/泽西岛)"
"GMT Standard Time (Europe/Lisbon)","GMT标准时间 (欧洲/里斯本)"
"GMT Standard Time (Europe/London)","GMT标准时间 (欧洲/伦敦)"
"GTB Standard Time (Asia/Nicosia)","GTB标准时间 (亚洲/尼科西亚)"
"GTB Standard Time (Europe/Athens)","GTB标准时间 (欧洲/雅典)"
"GTB Standard Time (Europe/Bucharest)","GTB标准时间 (欧洲/布加勒斯特)"
"GTB Standard Time (Europe/Chisinau)","GTB标准时间 (欧洲/基希讷乌)"
"Georgian Standard Time (Asia/Tbilisi)","格鲁吉亚标准时间 (亚洲/第比利斯)"
"Greenland Standard Time (America/Godthab)","格陵兰标准时间 (美洲/戈特霍布)"
"Greenwich Standard Time (Africa/Abidjan)","格林尼治标准​​时间 (非洲/阿比让)"
"Greenwich Standard Time (Africa/Accra)","格林尼治标准​​时间 (非洲/阿克拉)"
"Greenwich Standard Time (Africa/Bamako)","格林尼治标准​​时间 (非洲/巴马科)"
"Greenwich Standard Time (Africa/Banjul)","格林尼治标准​​时间 (非洲/班珠尔)"
"Greenwich Standard Time (Africa/Bissau)","格林尼治标准​​时间 (非洲/比绍)"
"Greenwich Standard Time (Africa/Conakry)","格林尼治标准​​时间 (非洲/科纳克里)"
"Greenwich Standard Time (Africa/Dakar)","格林尼治标准​​时间 (非洲/达喀尔)"
"Greenwich Standard Time (Africa/Freetown)","格林尼治标准​​时间 (非洲/弗里敦)"
"Greenwich Standard Time (Africa/Lome)","格林尼治标准​​时间 (非洲/洛美)"
"Greenwich Standard Time (Africa/Monrovia)","格林尼治标准​​时间 (非洲/蒙罗维亚)"
"Greenwich Standard Time (Africa/Nouakchott)","格林尼治标准​​时间 (非洲/努瓦克肖特)"
"Greenwich Standard Time (Africa/Ouagadougou)","格林尼治标准​​时间 (非洲/瓦加杜古)"
"Greenwich Standard Time (Africa/Sao_Tome)","格林尼治标准​​时间 (非洲/圣多美)"
"Greenwich Standard Time (Atlantic/Reykjavik)","格林尼治标准​​时间 (大西洋/雷克雅未克)"
"Greenwich Standard Time (Atlantic/St_Helena)","格林尼治标准​​时间 (大西洋/圣赫勒拿)"
"Hawaiian Standard Time (Etc/GMT+10)","夏威夷标准时间 (ETC/GMT+10)"，
"Hawaiian Standard Time (Pacific/Honolulu)","夏威夷标准时间 (太平洋/火奴鲁鲁)"
"Hawaiian Standard Time (Pacific/Johnston)","夏威夷标准时间 (太平洋/约翰斯顿)"
"Hawaiian Standard Time (Pacific/Rarotonga)","夏威夷标准时间 (太平洋/拉罗汤加岛)"
"Hawaiian Standard Time (Pacific/Tahiti)","夏威夷标准时间 (太平洋/塔希提岛)"
"India Standard Time (Asia/Calcutta)","印度标准时间 (亚洲/加尔各答)"
"Iran Standard Time (Asia/Tehran)","伊朗标准时间 (亚洲/德黑兰)"
"Israel Standard Time (Asia/Jerusalem)","以色列标准时间 (亚洲/耶路撒冷)"
"Jordan Standard Time (Asia/Amman)","乔丹标准时间 (亚洲/安曼)"
"Kaliningrad Standard Time (Europe/Kaliningrad)","加里宁格勒标准时间 (欧洲/加里宁格勒)"
"Kaliningrad Standard Time (Europe/Minsk)","加里宁格勒标准时间 (欧洲/明斯克)"
"Korea Standard Time (Asia/Pyongyang)","韩国标准时间 (亚洲/平壤)"
"Korea Standard Time (Asia/Seoul)","韩国标准时间 (亚洲/首尔)"
"Libya Standard Time (Africa/Tripoli)","利比亚标准时间 (非洲/的黎波里)"
"Magadan Standard Time (Asia/Anadyr)","马加丹标准时间 (亚洲/阿纳德尔)"
"Magadan Standard Time (Asia/Kamchatka)","马加丹标准时间 (亚洲/堪察加)"
"Magadan Standard Time (Asia/Magadan)","马加丹标准时间 (亚洲/马加丹)"
"Mauritius Standard Time (Indian/Mahe)","毛里求斯标准时间 (印度/马埃)"
"Mauritius Standard Time (Indian/Mauritius)","毛里求斯标准时间 (印度/毛里求斯)"
"Mauritius Standard Time (Indian/Reunion)","毛里求斯标准时间 (印度/留尼汪)"
"Middle East Standard Time (Asia/Beirut)","中东标准时间 (亚洲/贝鲁特)"
"Montevideo Standard Time (America/Montevideo)","蒙得维的亚标准时间 (美洲/蒙得维的亚)"
"Morocco Standard Time (Africa/Casablanca)","摩洛哥标准时间 (非洲/卡萨布兰卡)"
"Morocco Standard Time (Africa/El_Aaiun)","摩洛哥标准时间 (非洲/阿尤恩)"
"Mountain Standard Time (America/Boise)","山地标准时间 (美洲/博伊西)"
"Mountain Standard Time (America/Cambridge_Bay)","山地标准时间 (美洲/剑桥湾)"
"Mountain Standard Time (America/Denver)","山地标准时间 (美洲/丹佛)"
"Mountain Standard Time (America/Edmonton)","山地标准时间 (美洲/埃德蒙顿)"
"Mountain Standard Time (America/Inuvik)","山地标准时间 (美洲/伊努维克)"
"Mountain Standard Time (America/Ojinaga)","山地标准时间 (美洲/奥希纳加)"
"Mountain Standard Time (America/Shiprock)","山地标准时间 (美洲/希普罗克)"
"Mountain Standard Time (America/Yellowknife)","山地标准时间 (美洲/耶洛奈夫)"
"Mountain Standard Time (MST7MDT)","山地标准时间 (MST7MDT)"
"Mountain Standard Time (Mexico) (America/Chihuahua)","山地标准时间 (墨西哥) (美洲/奇瓦瓦)"
"Mountain Standard Time (Mexico) (America/Mazatlan)","山地标准时间 (墨西哥) (美洲/马萨特兰)"
"Myanmar Standard Time (Asia/Rangoon)","缅甸标准时间 (亚洲/仰光)"
"Myanmar Standard Time (Indian/Cocos)","缅甸标准时间 (印度/科科斯)"
"N. Central Asia Standard Time (Asia/Novokuznetsk)","中亚北部标准时间 (亚洲/新库兹涅茨克)"
"N. Central Asia Standard Time (Asia/Novosibirsk)","中亚北部标准时间 (亚洲/新西伯利亚)"
"N. Central Asia Standard Time (Asia/Omsk)","中亚北部标准时间 (亚洲/鄂木斯克)"
"Namibia Standard Time (Africa/Windhoek)","纳米比亚标准时间 (非洲/温得和克)"
"Nepal Standard Time (Asia/Katmandu)","尼泊尔标准时间 (亚洲/加德满都)"
"New Zealand Standard Time (Antarctica/McMurdo)","新西兰标准时间 (南极洲/麦克默多)"
"New Zealand Standard Time (Antarctica/South_Pole)","新西兰标准时间 (南极洲/南极)"
"New Zealand Standard Time (Pacific/Auckland)","新西兰标准时间 (太平洋/奥克兰)"
"Newfoundland Standard Time (America/St_Johns)","纽芬兰标准时间 (美洲/圣约翰斯)"
"North Asia East Standard Time (Asia/Irkutsk)","北东亚标准时间 (亚洲/伊尔库茨克)"
"North Asia Standard Time (Asia/Krasnoyarsk)","北亚标准时间 (亚洲/克拉斯诺亚尔斯克)"
"Pacific SA Standard Time (America/Santiago)","太平洋SA标准时间 (美洲/圣地亚哥)"
"Pacific SA Standard Time (Antarctica/Palmer)","太平洋SA标准时间 (南极洲/帕尔默地)"
"Pacific Standard Time (America/Dawson)","太平洋标准时间 (美洲/道森)"
"Pacific Standard Time (America/Los_Angeles)","太平洋标准时间 (美洲/洛杉矶)"
"Pacific Standard Time (America/Tijuana)","太平洋标准时间 (美洲/蒂华纳)"
"Pacific Standard Time (America/Vancouver)","太平洋标准时间 (美洲/温哥华)"
"Pacific Standard Time (America/Whitehorse)","太平洋标准时间 (美洲/白马)"
"Pacific Standard Time (Mexico) (America/Santa_Isabel)","太平洋标准时间 (墨西哥) (美洲/圣伊萨贝尔)"
"Pacific Standard Time (PST8PDT)","太平洋标准时间 (PST8PDT)"
"Pakistan Standard Time (Asia/Karachi)","巴基斯坦标准时间 (亚洲/卡拉奇)"
"Paraguay Standard Time (America/Asuncion)","巴拉圭标准时间 (美洲/亚松森)"
"Romance Standard Time (Africa/Ceuta)","中欧标准时间 (非洲/休达)"
"Romance Standard Time (Europe/Brussels)","中欧标准时间 (欧洲/布鲁塞尔)"
"Romance Standard Time (Europe/Copenhagen)","中欧标准时间 (欧洲/哥本哈根)"
"Romance Standard Time (Europe/Madrid)","中欧标准时间 (欧洲/马德里)"
"Romance Standard Time (Europe/Paris)","中欧标准时间 (欧洲/巴黎)"
"Russian Standard Time (Europe/Moscow)","俄罗斯标准时间 (欧洲/莫斯科)"
"Russian Standard Time (Europe/Samara)","俄罗斯标准时间 (欧洲/萨马拉)"
"Russian Standard Time (Europe/Volgograd)","俄罗斯标准时间 (欧洲/伏尔加格勒)"
"SA Eastern Standard Time (America/Araguaina)","SA东部标准时间 (美洲/阿拉圭纳)"
"SA Eastern Standard Time (America/Belem)","SA东部标准时间 (美洲/贝伦)"
"SA Eastern Standard Time (America/Cayenne)","SA东部标准时间 (美洲/卡宴)"
"SA Eastern Standard Time (America/Fortaleza)","SA东部标准时间 (美洲/福塔雷萨)"
"SA Eastern Standard Time (America/Maceio)","SA东部标准时间 (美洲/马塞约)"
"SA Eastern Standard Time (America/Paramaribo)","SA东部标准时间 (美洲/帕拉马里博)"
"SA Eastern Standard Time (America/Recife)","SA东部标准时间 (美洲/累西腓)"
"SA Eastern Standard Time (America/Santarem)","SA东部标准时间 (美洲/圣塔伦)"
"SA Eastern Standard Time (Antarctica/Rothera)","SA东部标准时间 (南极洲/路德)"
"SA Eastern Standard Time (Atlantic/Stanley)","SA东部标准时间 (大西洋/斯坦利)"
"SA Eastern Standard Time (Etc/GMT+3)","SA东部标准时间 (ETC/GMT+3)"，
"SA Pacific Standard Time (America/Bogota)","SA太平洋标准时间 (美洲/波哥大)"
"SA Pacific Standard Time (America/Cayman)","SA太平洋标准时间 (美洲/开曼)"
"SA Pacific Standard Time (America/Coral_Harbour)","SA太平洋标准时间 (美洲/科勒尔港)"
"SA Pacific Standard Time (America/Eirunepe)","SA太平洋标准时间 (美洲/埃鲁内佩)"
"SA Pacific Standard Time (America/Guayaquil)","SA太平洋标准时间 (美洲/瓜亚基尔)"
"SA Pacific Standard Time (America/Jamaica)","SA太平洋标准时间 (美洲/牙买加)"
"SA Pacific Standard Time (America/Lima)","SA太平洋标准时间 (美洲/利马)"
"SA Pacific Standard Time (America/Panama)","SA太平洋标准时间 (美洲/巴拿马)"
"SA Pacific Standard Time (America/Rio_Branco)","SA太平洋标准时间 (美洲/里奥布朗库)"
"SA Pacific Standard Time (Etc/GMT+5)","SA太平洋标准时间 (ETC/GMT+5)"，
"SA Western Standard Time (America/Anguilla)","SA西部标准时间 (美洲/安圭拉)"
"SA Western Standard Time (America/Antigua)","SA西部标准时间 (美洲/安提瓜)"
"SA Western Standard Time (America/Aruba)","SA西部标准时间 (美洲/阿鲁巴岛)"
"SA Western Standard Time (America/Barbados)","SA西部标准时间 (美洲/巴巴多斯)"
"SA Western Standard Time (America/Blanc-Sablon)","SA西部标准时间 (美洲/勃朗萨布隆)"
"SA Western Standard Time (America/Boa_Vista)","SA西部标准时间 (美洲/博阿维斯塔)"
"SA Western Standard Time (America/Curacao)","SA西部标准时间 (美洲/库拉索)"
"SA Western Standard Time (America/Dominica)","SA西部标准时间 (美洲/多米尼加)"
"SA Western Standard Time (America/Grenada)","SA西部标准时间 (美洲/格林纳达)"
"SA Western Standard Time (America/Guadeloupe)","SA西部标准时间 (美洲/瓜德罗普岛)"
"SA Western Standard Time (America/Guyana)","SA西部标准时间 (美洲/圭亚那)"
"SA Western Standard Time (America/Kralendijk)","SA西部标准时间 (美洲/克拉伦代克)"
"SA Western Standard Time (America/La_Paz)","SA西部标准时间 (美洲/拉巴斯)"
"SA Western Standard Time (America/Lower_Princes)","SA西部标准时间 (美洲/库拉索)"
"SA Western Standard Time (America/Manaus)","SA西部标准时间 (美洲/马瑙斯)"
"SA Western Standard Time (America/Marigot)","SA西部标准时间 (美洲/马里戈)"
"SA Western Standard Time (America/Martinique)","SA西部标准时间 (美洲/马提尼克岛)"
"SA Western Standard Time (America/Montserrat)","SA西部标准时间 (美洲/蒙特塞拉特)"
"SA Western Standard Time (America/Port_of_Spain)","SA西部标准时间 (美洲/西班牙港)"
"SA Western Standard Time (America/Porto_Velho)","SA西部标准时间 (美洲/波多韦柳)"
"SA Western Standard Time (America/Puerto_Rico)","SA西部标准时间 (美洲/波多黎各)"
"SA Western Standard Time (America/Santo_Domingo)","SA西部标准时间 (美洲/圣多明各)"
"SA Western Standard Time (America/St_Barthelemy)","SA西部标准时间 (美洲/圣巴托洛缪岛)"
"SA Western Standard Time (America/St_Kitts)","SA西部标准时间 (美洲/圣基茨)"
"SA Western Standard Time (America/St_Lucia)","SA西部标准时间 (美洲/圣卢西亚)"
"SA Western Standard Time (America/St_Thomas)","SA西部标准时间 (美洲/圣托马斯)"
"SA Western Standard Time (America/St_Vincent)","SA西部标准时间 (美洲/圣文森特)"
"SA Western Standard Time (America/Tortola)","SA西部标准时间 (美洲/托尔托拉)"
"SA Western Standard Time (Etc/GMT+4)","SA西部标准时间 (ETC/GMT+4)"
